233,Hobbycraft/Academy 1/48 F-8F Bearcat,1,
234,Academy 1/48 Polikarpov I-16,1,
238,Tamiya 1/48 F2A Buffalo,1,
240,Monogram 1/48 A-26B/C Invader,2,(1 in kit box)
241,Hasegawa 1/48 Saiun Myrt,1,
244,Hasegawa 1/32 Fw 190D 2003,1,
245,Hasegawa 1/48 F-104 Starfighters,1,
248,Tamiya 1/48 P-47D Bubbletop,0.5,
259,Hasegawa 1/48 Ki-43-II late Oscar,0,
268,Tamiya 1/72 P-47 Bubbletop (actually R),1,
269,Tamiya 1/72 P-47 Razorback (actually B),1,
271,Trumpeter 1/48 P-40B Tomahawk,1,
272,Hasegawa 1/32 Ki-84 Hayate,1,
273,Hasegawa 1/48 P-40E Warhawk,1,
281,Monogram 1/48 P-61 Black Widow,1,
